,0,1,2,3,4,5,6,7,8,9,name
Random,0.38500958626246906,0.3901730408592374,0.3741012926710425,0.372523824248728,0.42976503284487116,0.40215074705767784,0.37201599266286434,0.40462048226318426,0.3762721675226286,0.4169815402770363,AutoDL-AUC
Mean,0.8399120879120879,0.8410175824175824,0.8439494505494506,0.8473175824175824,0.8512857142857143,0.8374285714285714,0.846276923076923,0.8514351648351648,0.8444582417582418,0.8494692307692308,AutoDL-AUC
Median,0.7213241758241759,0.7167230769230769,0.7248758241758242,0.7401538461538462,0.7196967032967033,0.7323747252747252,0.7410758241758242,0.7654142857142857,0.7323604395604396,0.7303274725274725,AutoDL-AUC
Average rank,0.9029021353780197,0.9017439815323733,0.9035766503600285,0.9062311392057166,0.9062539857064321,0.8978681765708317,0.9135263403775866,0.9028268337593096,0.9137823278823691,0.8972950459119151,AutoDL-AUC
Copeland's method,0.914688414196611,0.921306772688368,0.9085671303963785,0.925360653926875,0.9225391563768957,0.9118410434974852,0.9313429249972385,0.9148915296393533,0.9236041085677996,0.9157259691100489,AutoDL-AUC
Relative difference,0.8424967032967033,0.8477373626373627,0.8471032967032966,0.8574560439560439,0.8594428571428572,0.8434274725274725,0.8556626373626374,0.8652582417582417,0.8607208791208791,0.8582307692307692,AutoDL-AUC
Random,0.6289186960584905,0.5986306529209622,0.6242160661774809,0.6131904604901638,0.6382041982635455,0.6131943260851637,0.6051149235675795,0.6048604395604396,0.6152624347348172,0.5739192940982435,AutoDL-ALC
Mean,0.8607208791208791,0.8670362637362637,0.8626747252747253,0.8610813186813187,0.8687648351648352,0.8658384615384616,0.865721978021978,0.8666615384615385,0.8610131868131868,0.8535846153846154,AutoDL-ALC
Median,0.835189010989011,0.8409703296703297,0.8369010989010989,0.8479901098901099,0.8404659340659341,0.8471846153846154,0.8290956043956044,0.838467032967033,0.8422384615384615,0.8158758241758242,AutoDL-ALC
Average rank,0.9678340570549112,0.9674302044405364,0.9722221611520281,0.9675176544939961,0.9655077362794404,0.9683718565342861,0.971938178321198,0.969987358817225,0.9655725043975374,0.9678451474589781,AutoDL-ALC
Copeland's method,0.9659129883377905,0.9683127118410537,0.9679109334068661,0.9662468298599625,0.9653739451767691,0.9665965134881668,0.9649321529041867,0.9716079598699079,0.9617926869622766,0.9663970223325062,AutoDL-ALC
Relative difference,0.8727483516483516,0.8670549450549451,0.8701285714285715,0.8629472527472527,0.8725263736263736,0.8587956043956044,0.8683978021978022,0.8716175824175825,0.8677945054945055,0.8565681318681319,AutoDL-ALC
Random,0.25353241650294694,0.3069831579748956,0.2454950652658389,0.24542160949022124,0.32049909003589305,0.3086679839377908,0.29186426902367163,0.2597716800681475,0.3104167458838739,0.31196847909752806,AutoML
Mean,0.8987415286952046,0.9013926811931665,0.8920132352941177,0.8925559136754126,0.902944312360597,0.9017766149094965,0.8970573529411765,0.90583107636123,0.8964671568627451,0.9040416666666666,AutoML
Median,0.8680615414840192,0.8468159258986265,0.853889489194499,0.8556101455505742,0.8659219879924861,0.8593013288138923,0.8643650764413335,0.878572551524233,0.8522870615974064,0.8493452110339743,AutoML
Average rank,0.9173759699900702,0.914272913372314,0.912425408811199,0.9138287934881212,0.9134169332793979,0.9235140104434801,0.9248779172386743,0.9235862610017407,0.9181204491406997,0.9219898997327842,AutoML
Copeland's method,0.914869990032364,0.9118706708824941,0.9110651601309603,0.9124358832292936,0.9077735240533753,0.9150359517360256,0.9213813011632916,0.9173136055342878,0.910672123076923,0.9161138799670199,AutoML
Relative difference,0.8883426470588235,0.891743137254902,0.8836294117647059,0.887278431372549,0.8884666666666666,0.8940563725490196,0.8895475490196079,0.8909117647058824,0.8896406862745098,0.8911122549019608,AutoML
Random,0.06002977443609023,0.0012586466165413533,0.003757293233082707,0.01603157894736842,0.008362706766917293,0.0014318796992481204,0.009456842105263158,0.008050526315789473,0.0027536842105263157,0.0034309774436090228,Artificial
Mean,0.2195254135338346,0.14358857142857143,0.08778947368421053,0.10721834586466165,0.07302406015037594,0.12139278195488722,0.0829157894736842,0.1387615037593985,0.12092781954887218,0.10167939849624061,Artificial
Median,0.2019612030075188,0.09334466165413534,0.10517203007518797,0.09612180451127819,0.09838406015037594,0.09462315789473684,0.12457473684210527,0.12077864661654135,0.07539067669172932,0.07134796992481203,Artificial
Average rank,0.20152500395215261,0.08869839501339999,0.11663936339203035,0.10756572409431746,0.12209321580995536,0.09484102479139682,0.13530293336143498,0.14614875398206095,0.07703043622241623,0.07406595640552649,Artificial
Copeland's method,0.19056835672249886,0.06469014988484917,0.09351560671824873,0.08365899355579563,0.09182279321849665,0.0719795716539713,0.11237868330035794,0.11253605179069187,0.05006192464827555,0.058823622701355584,Artificial
Relative difference,0.6584754887218045,0.6657945864661654,0.669867969924812,0.6806490225563909,0.693326917293233,0.712784060150376,0.6466466165413534,0.6820390977443609,0.6590724812030075,0.6937795488721804,Artificial
Random,0.35187816782311854,0.29305230334174426,0.35298721531572547,0.3114259005794256,0.2857006358064324,0.28399571447305333,0.3366701447949371,0.31735080049710346,0.3244484332129242,0.35118237184948176,OpenML
Mean,0.9646557795500643,0.9630359564356927,0.9674308438603924,0.9652572411782886,0.9662714557287004,0.9672094779186156,0.9659505177363289,0.9624373919356015,0.9659515867778941,0.9666032289728942,OpenML
Median,0.9153711934657809,0.9164674209491688,0.9202655514849107,0.9190660925179196,0.9179875257743008,0.9157123138753819,0.9172895164394411,0.9152254496230999,0.9145097685482914,0.9217667546406102,OpenML
Average rank,0.9707683520379226,0.9702163633439896,0.9717517297874448,0.9704908559756319,0.9716699582227676,0.9702786582680846,0.9725278304463773,0.9703518966405135,0.9719518382822957,0.9710245839877775,OpenML
Copeland's method,0.9670653743999139,0.9665414706434858,0.9677872333534911,0.9673161425668838,0.9670756889680325,0.9672309516004366,0.9693880702355927,0.9657890830459805,0.9678416827650917,0.9674219834627529,OpenML
Relative difference,0.9610426361493913,0.959114798033231,0.9639819494211944,0.9614930696252,0.9624641031449125,0.96371877109263,0.9612065080548284,0.9575903953915608,0.9620741461519571,0.9624784757742455,OpenML
Random,0.2558978885518011,0.2826604148682937,0.2734069286520551,0.2928507193852407,0.28506632906537904,0.3000329961075926,0.27074658346116304,0.2502680415065736,0.2836481046116537,0.28174292480602914,Statlog
Mean,0.7917528695652174,0.8175353043478261,0.8073457391304348,0.7931299130434782,0.7959429565217391,0.7869946086956522,0.807879652173913,0.7832789565217392,0.7913940930177957,0.7943036521739131,Statlog
Median,0.7296411565439357,0.74261544750449,0.7505436422858982,0.7337124805962232,0.7344019985563083,0.7433345799269439,0.7550974747452784,0.7524309668553935,0.7430149210891395,0.7405113040906937,Statlog
Average rank,0.8043809358149243,0.7915351195731116,0.8058737600187873,0.7946284474286162,0.8053425700034355,0.7995995425331142,0.7982593531609183,0.7959349017220386,0.8043711840526013,0.7980500363117681,Statlog
Copeland's method,0.7698450723867133,0.7607947022753718,0.7682318901206163,0.7601270577162726,0.7611536064637872,0.7551010956934672,0.7565917885342769,0.755847955510229,0.7643636593400848,0.7566386030965796,Statlog
Relative difference,0.8058377391304348,0.7996283478260869,0.8088093913043478,0.8051073043478261,0.8113335652173913,0.8095085217391305,0.8089812173913044,0.7998765217391305,0.8107175652173914,0.8080650434782609,Statlog
